los_lat,los_lon,los_alt,los_x,los_y,los_z,distance_m,grid_id_lat,grid_id_lon,grid_id_alt,grid_cloud,cflos_percentage
40.00026723688939,-80.22646271184581,5981.990874831308,831333.0965476518,-4826193.979963215,4081853.47363728,24201.869233713158,5500,4989,20,0.0,0.0
40.00026700160124,-80.2253312898816,5956.507248108922,831425.0880355593,-4826158.341098814,4081837.0729550472,24301.876957819408,5500,4989,20,0.0,0.0
40.00026675526617,-80.22419985890538,5931.025084277753,831517.0795234668,-4826122.7022344135,4081820.672272814,24401.884681925734,5500,4989,19,0.0,0.0
40.00026649788394,-80.2230684189179,5905.544383356267,831609.0710113744,-4826087.063370013,4081804.271590581,24501.89240603209,5500,4989,19,0.0,0.0
40.000266229454276,-80.22193696991998,5880.065145362167,831701.0624992818,-4826051.424505613,4081787.870908348,24601.900130138085,5500,4989,19,0.0,0.0
40.00026594997691,-80.22080551191235,5854.587370310649,831793.0539871894,-4826015.785641212,4081771.470226115,24701.90785424444,5500,4989,19,0.0,0.0
40.00026565945158,-80.2196740448958,5829.111058221076,831885.0454750969,-4825980.146776811,4081755.069543882,24801.915578350767,5500,4989,19,0.0,0.0
40.00026535787804,-80.2185425688711,5803.636209109357,831977.0369630045,-4825944.50791241,4081738.668861649,24901.923302457122,5500,4989,19,0.0,0.0
40.000265045256,-80.21741108383904,5778.162822996119,832069.028450912,-4825908.869048011,4081722.268179416,25001.93102656304,5500,4989,19,0.0,0.0
40.000264721585204,-80.21627958980038,5752.69089989619,832161.0199388196,-4825873.23018361,4081705.867497183,25101.938750669473,5500,4989,19,0.0,0.0
40.000264386865375,-80.21514808675592,5727.220439827159,832253.011426727,-4825837.591319209,4081689.46681495,25201.946474775723,5500,4989,19,0.0,0.0
40.000264041096294,-80.21401657470639,5701.751442806709,832345.0029146345,-4825801.952454808,4081673.066132717,25301.95419888205,5500,4989,19,0.0,0.0
40.000263684277634,-80.2128850536526,5676.283908853325,832436.9944025421,-4825766.313590408,4081656.665450484,25401.961922988074,5500,4989,19,0.0,0.0
40.00026331640919,-80.21175352359532,5650.817837983862,832528.9858904496,-4825730.6747260075,4081640.2647682508,25501.9696470944,5500,4989,19,0.0,0.0
40.00026293749067,-80.21062198453532,5625.353230214895,832620.9773783572,-4825695.035861607,4081623.864086018,25601.977371200755,5500,4989,18,0.0,0.0
40.00026254752179,-80.20949043647337,5599.890085564591,832712.9688662647,-4825659.396997206,4081607.4634037847,25701.98509530708,5500,4990,18,0.0,0.0
40.000262146502315,-80.20835887941027,5574.4284040532775,832804.9603541723,-4825623.758132806,4081591.062721552,25801.992819413103,5500,4990,18,0.0,0.0
40.00026173443198,-80.20722731334676,5548.968185693042,832896.9518420798,-4825588.119268405,4081574.6620393186,25902.000543519433,5500,4990,18,0.0,0.0
40.0002613113105,-80.20609573828364,5523.509430504629,832988.9433299873,-4825552.480404004,4081558.261357086,26002.008267625788,5500,4990,18,0.0,0.0
40.000260877137634,-80.20496415422167,5498.052138505074,833080.9348178948,-4825516.841539604,4081541.8606748525,26102.015991732114,5500,4990,18,0.0,0.0
40.0002604319131,-80.20383256116165,5472.596309713396,833172.9263058024,-4825481.202675204,4081525.4599926197,26202.02371583814,5500,4990,18,0.0,0.0
40.000259975636645,-80.20270095910432,5447.141944142693,833264.9177937099,-4825445.563810803,4081509.0593103864,26302.031439944465,5500,4990,18,0.0,0.0
40.000259508308005,-80.20156934805048,5421.689041814125,833356.9092816174,-4825409.924946402,4081492.6586281536,26402.039164050715,5500,4990,18,0.0,0.0
40.000259029926916,-80.20043772800089,5396.237602745211,833448.900769525,-4825374.286082001,4081476.2579459203,26502.046888157147,5500,4990,18,0.0,0.0
40.000258540493085,-80.19930609895636,5370.787626952344,833540.8922574325,-4825338.647217602,4081459.8572636875,26602.054612263066,5500,4990,18,0.0,0.0
